name,gender,known_for_department,original_name,popularity
Matilda De Angelis,1,Acting,Matilda De Angelis,5.1342
Idris Elba,2,Acting,Idris Elba,5.1787
Wei Xiao,1,Acting,Wei Xiao,5.0919
Divine Villareal,1,Acting,Divine Villareal,5.0635
Rosamund Pike,1,Acting,Rosamund Pike,5.4344
Maite Perroni,1,Acting,Maite Perroni,5.5072
Terrence Howard,2,Acting,Terrence Howard,4.5575
Eric Bana,2,Acting,Eric Bana,5.4915
Tim Curry,2,Acting,Tim Curry,5.6097
Elisabeth Shue,1,Acting,Elisabeth Shue,4.6136
Ella Purnell,1,Acting,Ella Purnell,5.4611
Chermarn Boonyasak,1,Acting,เฌอมาลย์ บุญยศักดิ์,4.601
Jamie McGuire,0,Acting,Jamie McGuire,5.8601
Subhashree Ganguly,1,Acting,Subhashree Ganguly,5.2107
Beren Saat,1,Acting,Beren Saat,5.2129
Kurt Russell,2,Acting,Kurt Russell,5.245
Romina Power,1,Acting,Romina Power,4.5103
Sarah Shahi,1,Acting,Sarah Shahi,4.4935
Ozan Akbaba,2,Acting,Ozan Akbaba,5.236
Simon Webster,2,Acting,Simon Webster,5.8208
John Cho,2,Acting,John Cho,5.231
Park Ji-hoon,2,Acting,박지훈,4.5191
Christopher Nolan,2,Directing,Christopher Nolan,5.2178
Amy Adams,1,Acting,Amy Adams,5.2163
Beren Saat,1,Acting,Beren Saat,5.2129
Tae Hee,1,Acting,태희,4.9317
Elisha Cuthbert,1,Acting,Elisha Cuthbert,5.2011
Cameron Diaz,1,Acting,Cameron Diaz,5.189
Idris Elba,2,Acting,Idris Elba,5.1787
Teresa Blasco,0,Acting,Teresa Blasco,1.8343
Han Yi-seul,1,Acting,한이슬,4.9433
Robin Tunney,1,Acting,Robin Tunney,5.1655
Sophie Rundle,1,Acting,Sophie Rundle,6.8061
Abhishek Bachchan,2,Acting,अभिषेक बच्चन,5.1622
Kim Go-eun,1,Acting,김고은,5.178
Romina Power,1,Acting,Romina Power,4.5103
Wang Yibo,2,Acting,王一博,4.8205
Sarah Shahi,1,Acting,Sarah Shahi,4.4935
Shōji Sakai,2,Editing,酒井正次,5.1203
Simon Webster,2,Acting,Simon Webster,5.8208
Park Ji-hoon,2,Acting,박지훈,4.5191
Hu Jun,2,Acting,胡军,5.0385
Shantel VanSanten,1,Acting,Shantel VanSanten,5.0236
Marisa Tomei,1,Acting,Marisa Tomei,4.5116
Jennifer Jason Leigh,1,Acting,Jennifer Jason Leigh,4.9559
Tae Hee,1,Acting,태희,4.9317
Quentin Tarantino,2,Directing,Quentin Tarantino,5.3534
Julianne Moore,1,Acting,Julianne Moore,4.5796
Teresa Blasco,0,Acting,Teresa Blasco,1.8343
Han Yi-seul,1,Acting,한이슬,4.9433
Matthew McConaughey,2,Acting,Matthew McConaughey,5.1146
Sophie Rundle,1,Acting,Sophie Rundle,6.8061
Nicholas Hoult,2,Acting,Nicholas Hoult,4.4757
Christian Bale,2,Acting,Christian Bale,4.5014
Keira Knightley,1,Acting,Keira Knightley,4.8901
Kim Go-eun,1,Acting,김고은,5.178
Robert Pattinson,2,Acting,Robert Pattinson,5.0607
Abhishek Bachchan,2,Acting,अभिषेक बच्चन,5.1622
Natalie Dormer,1,Acting,Natalie Dormer,4.6876
Jean Reno,2,Acting,Jean Reno,4.5385
Eva Green,1,Acting,Eva Green,5.6932
Moemi Katayama,1,Acting,片山萌美,4.6792
Akio Otsuka,2,Acting,大塚明夫,4.6207
Anna Faris,1,Acting,Anna Faris,4.5988
Taylor Ortega,1,Acting,Taylor Ortega,4.7319
Rachel McAdams,1,Acting,Rachel McAdams,5.1327
Travis Fimmel,2,Acting,Travis Fimmel,4.7299
Susan Shaw Yam-Yam,1,Acting,邵音音,4.2249
Katie Holmes,1,Acting,Katie Holmes,4.6119
Lana Condor,1,Acting,Lana Condor,3.9715
Adrien Brody,2,Acting,Adrien Brody,4.6906
Peyton List,1,Acting,Peyton List,4.969
Isabel May,1,Acting,Isabel May,4.9013
Samantha Brown,1,Acting,Samantha Brown,6.2339
Krisma Fajardo,1,Production,Krisma Fajardo,7.9121
Gillian Anderson,1,Acting,Gillian Anderson,4.8
James Spader,2,Acting,James Spader,4.547
Nia Long,1,Acting,Nia Long,4.9415
Trisha Krishnan,1,Acting,Trisha Krishnan,4.8899
Heather Locklear,1,Acting,Heather Locklear,4.0417
Barış Arduç,2,Acting,Barış Arduç,4.4801
Bridget Regan,1,Acting,Bridget Regan,4.8131
Do Hee,1,Acting,Do Hee,5.6788
Stellan Skarsgård,2,Acting,Stellan Skarsgård,4.315
Jennifer Coolidge,1,Acting,Jennifer Coolidge,4.9147
Melissa O'Neil,1,Acting,Melissa O'Neil,4.2577
Samara Weaving,1,Acting,Samara Weaving,4.6344
Jon Hamm,2,Acting,Jon Hamm,4.8927
Zoë Kravitz,1,Acting,Zoë Kravitz,7.9022
Scott Adkins,2,Acting,Scott Adkins,4.8004
